                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.8629,                0.42035,                 1.1563,                0.90596,                0.82108,                 0.8793,                 0.6466,                0.81411,                0.32556,                 1.0654,              0.0033218,              0.0033218,              0.0033218
                      1,                 0.7662,                0.35281,                 1.0445,                0.82918,                0.85695,                0.88003,                0.64214,                0.78741,                 0.3221,                 1.0379,              0.0066331,              0.0066331,              0.0066331
                      2,                0.74632,                0.35889,                  1.034,                0.85755,                0.85524,                0.87305,                0.64109,                0.75283,                 0.3366,                  1.024,              0.0099225,              0.0099225,              0.0099225
                      3,                0.75128,                0.36696,                  1.045,                 0.8649,                0.87326,                0.89711,                0.61536,                0.81478,                 0.3326,                 1.0609,               0.009901,               0.009901,               0.009901
                      4,                0.73529,                0.36153,                 1.0267,                 0.8996,                0.84989,                  0.886,                0.63807,                0.74721,                0.33164,                 1.0214,               0.009901,               0.009901,               0.009901
                      5,                0.72452,                0.35443,                 1.0221,                0.88799,                0.85392,                0.87391,                0.60037,                0.84674,                0.36385,                 1.0654,               0.009868,               0.009868,               0.009868
                      6,                 0.7167,                0.34865,                 1.0203,                0.86298,                0.88711,                0.88458,                0.63153,                 0.7563,                0.33544,                 1.0361,               0.009835,               0.009835,               0.009835
                      7,                0.70304,                0.34022,                 1.0296,                0.87553,                0.88738,                0.90349,                0.63382,                0.75025,                0.31808,                 1.0336,               0.009802,               0.009802,               0.009802
                      8,                0.69351,                0.33331,                 1.0061,                0.86887,                0.87873,                0.88224,                0.65924,                0.74894,                0.32619,                 1.0292,               0.009769,               0.009769,               0.009769
                      9,                0.67998,                 0.3339,                 1.0127,                 0.9115,                0.81236,                0.86753,                0.57667,                0.86657,                0.34985,                 1.1451,               0.009736,               0.009736,               0.009736
                     10,                 0.6726,                0.32718,                0.99049,                0.90895,                0.84202,                0.90605,                0.65958,                0.75839,                0.32335,                0.99809,               0.009703,               0.009703,               0.009703
                     11,                0.66051,                0.31993,                0.98426,                0.86667,                0.87898,                0.88866,                0.63266,                0.77062,                0.32955,                 1.0392,                0.00967,                0.00967,                0.00967
                     12,                0.65115,                0.31467,                0.98463,                0.88531,                 0.8807,                0.90833,                0.63983,                0.75189,                0.30783,                  1.027,               0.009637,               0.009637,               0.009637
                     13,                0.64033,                 0.3098,                0.97624,                0.86933,                0.88356,                0.90255,                0.65165,                0.73055,                0.29854,                 1.0076,               0.009604,               0.009604,               0.009604
                     14,                0.63085,                0.30747,                0.96634,                0.91349,                0.83787,                0.88993,                0.65102,                0.73532,                0.30249,                0.99204,               0.009571,               0.009571,               0.009571
                     15,                0.62319,                0.30485,                0.96245,                0.88356,                0.88187,                0.90421,                0.64607,                0.74235,                0.30906,                 1.0045,               0.009538,               0.009538,               0.009538
                     16,                0.61072,                0.29703,                0.95953,                0.89752,                0.87373,                0.90248,                0.66784,                0.73451,                0.30838,                 1.0163,               0.009505,               0.009505,               0.009505
                     17,                0.60346,                0.29259,                0.96384,                0.84488,                0.89713,                 0.8851,                 0.6005,                0.76557,                0.31933,                 1.0535,               0.009472,               0.009472,               0.009472
                     18,                 0.5969,                0.28967,                0.95604,                0.89137,                 0.8581,                  0.887,                0.63002,                0.76215,                 0.3121,                 1.0479,               0.009439,               0.009439,               0.009439
                     19,                 0.5928,                0.29042,                0.95192,                0.89124,                0.88949,                0.91395,                0.65153,                0.75472,                0.30105,                 1.0224,               0.009406,               0.009406,               0.009406
                     20,                0.58012,                0.28594,                 0.9379,                0.88891,                0.86912,                0.90111,                0.64851,                0.74368,                0.31408,                  1.011,               0.009373,               0.009373,               0.009373
                     21,                0.57154,                0.28376,                  0.937,                0.87205,                0.85797,                0.89112,                0.65307,                0.76927,                0.31454,                 1.0301,                0.00934,                0.00934,                0.00934
                     22,                0.56552,                0.28066,                0.93249,                0.88462,                 0.8813,                0.90142,                0.64241,                0.75237,                0.30365,                  1.039,               0.009307,               0.009307,               0.009307
                     23,                0.55516,                0.27966,                0.92476,                0.89481,                0.87052,                0.90553,                0.66135,                0.75287,                0.30258,                 1.0088,               0.009274,               0.009274,               0.009274
                     24,                0.55406,                0.27516,                0.92279,                 0.8788,                0.87245,                0.90506,                0.62538,                0.77623,                 0.3079,                 1.0465,               0.009241,               0.009241,               0.009241
                     25,                0.54194,                0.27047,                0.92425,                0.88372,                0.88595,                0.90063,                0.65812,                0.75275,                0.30255,                 1.0339,               0.009208,               0.009208,               0.009208
                     26,                0.53219,                0.26561,                0.92581,                0.86924,                0.87152,                0.89235,                0.65138,                0.74425,                0.30329,                 1.0218,               0.009175,               0.009175,               0.009175
                     27,                0.53071,                0.26393,                0.92507,                0.88939,                0.84487,                0.89968,                0.65597,                0.75463,                 0.3112,                 1.0327,               0.009142,               0.009142,               0.009142
                     28,                0.52878,                0.26637,                0.91947,                0.87641,                0.87002,                0.89401,                0.64605,                0.75049,                0.30514,                 1.0396,               0.009109,               0.009109,               0.009109
                     29,                0.51995,                0.26202,                0.91601,                 0.8826,                0.87567,                0.89861,                0.65715,                0.74416,                0.30104,                 1.0336,               0.009076,               0.009076,               0.009076
                     30,                0.51797,                0.26135,                0.91369,                0.87003,                0.86702,                0.88673,                0.66358,                0.76862,                 0.3113,                 1.0596,               0.009043,               0.009043,               0.009043
                     31,                0.51117,                0.25831,                0.91592,                0.89634,                0.86842,                 0.8913,                0.64107,                0.74715,                0.30575,                 1.0276,                0.00901,                0.00901,                0.00901
                     32,                0.50916,                 0.2573,                0.91593,                0.91436,                0.84464,                0.89039,                 0.6303,                0.74877,                0.30502,                 1.0454,               0.008977,               0.008977,               0.008977
                     33,                0.50664,                0.25356,                0.91307,                0.90438,                0.81218,                0.88099,                 0.6288,                  0.748,                 0.3026,                 1.0402,               0.008944,               0.008944,               0.008944
                     34,                0.49907,                0.25452,                0.90799,                0.89816,                0.86014,                0.89053,                0.64165,                0.75608,                0.30753,                 1.0554,               0.008911,               0.008911,               0.008911
                     35,                0.49834,                0.25585,                0.91587,                0.88566,                0.87747,                0.91122,                0.65863,                0.74393,                0.29788,                 1.0722,               0.008878,               0.008878,               0.008878
                     36,                0.49159,                0.25346,                 0.9054,                0.90797,                0.85229,                0.89767,                0.65189,                 0.7491,                0.30296,                 1.0235,               0.008845,               0.008845,               0.008845
                     37,                0.48791,                0.25024,                0.89859,                0.89106,                0.87328,                 0.8991,                0.64474,                0.74467,                0.29251,                 1.0349,               0.008812,               0.008812,               0.008812
                     38,                0.48531,                0.24972,                0.89883,                0.87586,                 0.8928,                0.90026,                0.64135,                0.75228,                0.29957,                 1.0335,               0.008779,               0.008779,               0.008779
                     39,                 0.4763,                0.24489,                0.89704,                 0.8789,                 0.8787,                0.91264,                0.65033,                0.75774,                0.29996,                 1.0569,               0.008746,               0.008746,               0.008746
                     40,                0.47089,                0.24465,                0.89655,                0.89091,                0.88047,                0.90377,                0.65586,                0.75494,                0.30142,                 1.0327,               0.008713,               0.008713,               0.008713
                     41,                0.47055,                0.24345,                0.88988,                0.90149,                 0.8823,                0.91165,                0.65679,                0.74199,                0.29337,                   1.03,                0.00868,                0.00868,                0.00868
                     42,                0.46238,                0.24014,                0.89012,                 0.8611,                0.89618,                 0.8857,                0.63926,                0.75503,                0.30209,                  1.047,               0.008647,               0.008647,               0.008647
                     43,                0.46374,                0.24302,                0.88998,                0.89555,                0.86446,                0.88865,                0.63665,                0.75642,                0.30064,                 1.0553,               0.008614,               0.008614,               0.008614
                     44,                0.45799,                0.23837,                0.89465,                0.91518,                0.85395,                0.90531,                0.64904,                0.75142,                0.30039,                 1.0461,               0.008581,               0.008581,               0.008581
                     45,                0.45292,                0.23783,                0.89004,                0.88408,                0.87507,                0.90139,                0.64606,                0.74957,                0.29412,                  1.055,               0.008548,               0.008548,               0.008548
                     46,                0.45318,                0.23604,                0.88907,                0.88879,                0.87673,                0.89581,                0.64196,                0.75891,                0.29677,                 1.0577,               0.008515,               0.008515,               0.008515
                     47,                0.44537,                0.23284,                 0.8851,                0.89081,                0.87308,                 0.9082,                0.64697,                0.74541,                0.29401,                 1.0521,               0.008482,               0.008482,               0.008482
                     48,                 0.4451,                0.23116,                0.89003,                0.89734,                0.87589,                0.90007,                0.65244,                0.75014,                0.29733,                  1.067,               0.008449,               0.008449,               0.008449
                     49,                0.44467,                0.23363,                 0.8869,                0.90618,                0.85092,                0.90183,                0.64764,                0.74247,                0.29921,                 1.0469,               0.008416,               0.008416,               0.008416
                     50,                0.44388,                0.23413,                0.88467,                0.87738,                0.86726,                0.88551,                0.62934,                0.75284,                0.30203,                 1.0713,               0.008383,               0.008383,               0.008383
                     51,                0.43812,                0.23143,                 0.8828,                0.90383,                0.85867,                0.89053,                0.64606,                0.75499,                0.29772,                  1.037,                0.00835,                0.00835,                0.00835
                     52,                0.43469,                0.22972,                0.87739,                0.89863,                0.85975,                0.88821,                0.63438,                0.75276,                0.29715,                 1.0543,               0.008317,               0.008317,               0.008317
                     53,                0.43942,                0.22997,                 0.8826,                0.92063,                0.85639,                0.90745,                0.66217,                0.74881,                0.29494,                 1.0541,               0.008284,               0.008284,               0.008284
                     54,                0.43545,                0.22836,                0.88165,                0.87896,                  0.865,                0.89626,                0.64013,                0.74887,                0.29691,                 1.0612,               0.008251,               0.008251,               0.008251
                     55,                0.43004,                0.22673,                0.87856,                0.85862,                0.88624,                0.89598,                0.65553,                0.74109,                0.29866,                 1.0434,               0.008218,               0.008218,               0.008218
                     56,                0.42669,                0.22669,                0.87399,                0.89768,                0.87467,                0.89634,                0.65671,                0.73894,                  0.294,                 1.0405,               0.008185,               0.008185,               0.008185
                     57,                0.42053,                0.22317,                0.87374,                0.86334,                0.88686,                0.90823,                0.64693,                0.74835,                0.29512,                 1.0488,               0.008152,               0.008152,               0.008152
                     58,                0.42062,                0.22392,                0.87592,                0.91067,                0.85675,                0.89948,                0.65241,                0.74244,                0.29313,                 1.0705,               0.008119,               0.008119,               0.008119
                     59,                0.41972,                0.22166,                0.87975,                0.88424,                0.88492,                0.90162,                0.64383,                0.74349,                0.29183,                 1.0749,               0.008086,               0.008086,               0.008086
                     60,                 0.4168,                0.22211,                0.87236,                0.86691,                0.88512,                0.90218,                0.63872,                0.74259,                0.29016,                 1.0381,               0.008053,               0.008053,               0.008053
                     61,                0.41319,                0.22192,                 0.8732,                0.90843,                0.85692,                0.89711,                0.64555,                0.74794,                 0.2975,                 1.0596,                0.00802,                0.00802,                0.00802
                     62,                 0.4138,                0.21879,                0.87325,                0.93145,                0.83004,                0.89066,                0.65512,                0.73425,                0.29087,                 1.0514,               0.007987,               0.007987,               0.007987
                     63,                 0.4122,                0.21877,                0.87143,                0.87697,                0.89941,                0.92028,                0.66643,                0.73884,                0.28588,                 1.0412,               0.007954,               0.007954,               0.007954
                     64,                0.40818,                0.21804,                0.86977,                0.88592,                0.88452,                0.90728,                0.65075,                0.73699,                0.29123,                 1.0575,               0.007921,               0.007921,               0.007921
                     65,                0.40579,                0.21664,                0.86913,                 0.8943,                0.88393,                0.91047,                0.66687,                0.73964,                0.28892,                 1.0463,               0.007888,               0.007888,               0.007888
                     66,                0.40416,                0.21664,                0.87014,                0.90059,                0.85572,                0.89129,                0.64437,                0.74042,                0.29281,                 1.0441,               0.007855,               0.007855,               0.007855
                     67,                0.40201,                0.21691,                0.86852,                0.91119,                0.85429,                0.90099,                0.66235,                0.73609,                0.28663,                 1.0391,               0.007822,               0.007822,               0.007822
                     68,                0.40101,                0.21658,                0.86439,                0.90122,                0.86627,                0.90364,                0.66607,                0.73487,                 0.2894,                  1.036,               0.007789,               0.007789,               0.007789
                     69,                0.39872,                0.21828,                0.86372,                0.90289,                 0.8664,                0.90606,                0.65412,                0.74138,                0.28672,                 1.0388,               0.007756,               0.007756,               0.007756
                     70,                0.39558,                0.21501,                0.86777,                0.87717,                0.88521,                0.90729,                0.65458,                0.73852,                0.29131,                 1.0663,               0.007723,               0.007723,               0.007723
                     71,                0.39329,                0.21516,                 0.8711,                0.88929,                0.85449,                0.89695,                0.65662,                0.73842,                0.29446,                 1.0681,                0.00769,                0.00769,                0.00769
                     72,                0.39135,                0.21163,                0.86567,                0.89843,                0.83526,                0.89068,                0.65186,                0.73777,                0.30251,                 1.0513,               0.007657,               0.007657,               0.007657
                     73,                0.38905,                 0.2095,                0.86426,                0.91772,                0.83751,                  0.905,                0.66406,                0.73447,                0.29268,                 1.0569,               0.007624,               0.007624,               0.007624
                     74,                0.38815,                0.21168,                  0.868,                0.88167,                0.88689,                0.89591,                0.65495,                0.73799,                0.28731,                 1.0634,               0.007591,               0.007591,               0.007591
                     75,                0.38501,                0.21033,                0.86393,                0.89771,                0.88901,                0.91638,                0.66998,                0.74142,                0.28383,                 1.0456,               0.007558,               0.007558,               0.007558
                     76,                0.38174,                0.20694,                0.86074,                0.88512,                0.87226,                0.90075,                0.66111,                0.73518,                0.28845,                 1.0499,               0.007525,               0.007525,               0.007525
                     77,                0.38566,                0.21084,                 0.8593,                0.89988,                 0.8603,                0.90666,                0.65332,                0.74167,                0.28928,                 1.0425,               0.007492,               0.007492,               0.007492
                     78,                0.38212,                0.20897,                0.86436,                0.87824,                0.88735,                 0.9099,                0.66676,                0.73649,                0.28653,                  1.063,               0.007459,               0.007459,               0.007459
                     79,                0.38145,                0.20858,                0.86866,                0.88311,                 0.8813,                0.90651,                0.65506,                0.73799,                0.29778,                  1.101,               0.007426,               0.007426,               0.007426
                     80,                0.37836,                 0.2081,                0.86339,                0.91174,                0.85299,                0.90513,                0.65837,                0.73147,                0.28878,                 1.0565,               0.007393,               0.007393,               0.007393
                     81,                0.37659,                0.20609,                0.86006,                0.89223,                 0.8793,                0.90803,                0.66313,                  0.732,                0.28596,                  1.042,                0.00736,                0.00736,                0.00736
                     82,                0.37104,                0.20261,                0.85833,                0.86685,                 0.8674,                0.90154,                0.66181,                0.73793,                0.29194,                 1.0639,               0.007327,               0.007327,               0.007327
                     83,                0.37171,                0.20347,                0.86143,                0.88784,                0.84782,                0.89267,                0.64834,                0.73397,                0.29264,                 1.0642,               0.007294,               0.007294,               0.007294
                     84,                0.37349,                0.20491,                0.85565,                 0.8738,                0.87336,                0.89662,                0.65476,                0.73956,                0.29263,                 1.0507,               0.007261,               0.007261,               0.007261
                     85,                0.36981,                0.20261,                0.85893,                0.89763,                0.86921,                0.90569,                   0.66,                 0.7404,                0.29637,                 1.0719,               0.007228,               0.007228,               0.007228
                     86,                0.37064,                0.20336,                 0.8616,                0.87846,                0.87509,                0.90074,                0.66126,                0.73173,                0.29446,                 1.0671,               0.007195,               0.007195,               0.007195
                     87,                0.36758,                0.20397,                  0.858,                0.89236,                0.86924,                0.89819,                0.66547,                0.73196,                0.29098,                 1.0613,               0.007162,               0.007162,               0.007162
                     88,                0.36743,                0.20076,                0.85807,                0.87407,                0.88554,                0.90437,                0.66325,                0.74095,                0.29411,                 1.0689,               0.007129,               0.007129,               0.007129
                     89,                0.36578,                0.20358,                0.85642,                0.89386,                0.88304,                0.90772,                0.65953,                0.73835,                0.29041,                 1.0543,               0.007096,               0.007096,               0.007096
                     90,                0.36452,                0.19976,                 0.8556,                0.89127,                0.87316,                0.89452,                0.65558,                0.74058,                0.29219,                 1.0563,               0.007063,               0.007063,               0.007063
                     91,                  0.367,                0.20193,                0.85944,                  0.879,                0.86722,                0.89991,                0.65985,                 0.7355,                0.29005,                 1.0478,                0.00703,                0.00703,                0.00703
                     92,                0.36314,                0.20054,                0.85779,                0.87975,                0.88695,                0.90524,                0.65899,                0.73534,                0.29147,                 1.0605,               0.006997,               0.006997,               0.006997
                     93,                 0.3604,                0.20105,                0.85068,                0.90422,                0.86742,                0.90437,                0.66393,                0.73364,                0.28533,                 1.0357,               0.006964,               0.006964,               0.006964
                     94,                0.35819,                0.19892,                0.85035,                0.90099,                0.87863,                0.90911,                0.66482,                0.73552,                0.28996,                 1.0374,               0.006931,               0.006931,               0.006931
                     95,                0.35656,                0.19721,                0.85253,                0.90593,                0.88171,                0.90553,                0.66372,                0.73607,                0.28686,                 1.0455,               0.006898,               0.006898,               0.006898
                     96,                0.35583,                0.19891,                0.85308,                0.90434,                0.86071,                0.90959,                0.66386,                0.74003,                0.28778,                 1.0526,               0.006865,               0.006865,               0.006865
                     97,                0.35899,                0.19794,                0.85459,                0.90934,                 0.8654,                0.91168,                0.67354,                0.73673,                 0.2831,                 1.0648,               0.006832,               0.006832,               0.006832
                     98,                0.35254,                0.19573,                0.85232,                 0.9118,                 0.8795,                0.91008,                0.66795,                0.73258,                 0.2825,                 1.0646,               0.006799,               0.006799,               0.006799
                     99,                 0.3554,                0.19922,                0.85011,                0.88516,                0.88899,                0.91063,                0.66081,                 0.7341,                0.28318,                  1.047,               0.006766,               0.006766,               0.006766
                    100,                0.35538,                0.19729,                0.84782,                0.90235,                0.87103,                0.90788,                0.66129,                0.73669,                0.28441,                 1.0389,               0.006733,               0.006733,               0.006733
                    101,                0.35124,                0.19479,                0.84977,                 0.9134,                0.86762,                0.90048,                0.66373,                 0.7351,                 0.2858,                 1.0544,                 0.0067,                 0.0067,                 0.0067
                    102,                0.35069,                0.19342,                0.85353,                0.91468,                0.87077,                 0.9162,                0.66772,                0.73524,                0.28122,                 1.0636,               0.006667,               0.006667,               0.006667
                    103,                0.34983,                 0.1939,                0.85017,                0.90985,                0.87892,                0.90759,                0.66548,                0.73439,                0.28462,                  1.061,               0.006634,               0.006634,               0.006634
                    104,                0.34199,                0.19167,                0.84388,                0.92381,                0.86657,                0.90871,                0.66554,                0.73066,                0.28617,                 1.0409,               0.006601,               0.006601,               0.006601
                    105,                0.34631,                0.19133,                0.84897,                0.90483,                0.87305,                0.91697,                0.67173,                0.72846,                0.28559,                 1.0394,               0.006568,               0.006568,               0.006568
                    106,                0.34229,                0.19126,                0.84866,                0.87201,                 0.8899,                0.91095,                0.66942,                0.72956,                0.28826,                  1.059,               0.006535,               0.006535,               0.006535
                    107,                0.34517,                0.19238,                0.85318,                0.90134,                0.88396,                0.91502,                0.66735,                0.73527,                0.28646,                 1.0739,               0.006502,               0.006502,               0.006502
                    108,                 0.3437,                0.19114,                0.85164,                0.87982,                0.89331,                0.91357,                0.66584,                0.73189,                0.28792,                 1.0727,               0.006469,               0.006469,               0.006469
                    109,                0.33557,                0.18811,                0.84624,                0.92809,                0.84083,                0.90421,                0.65868,                0.73008,                0.28624,                 1.0618,               0.006436,               0.006436,               0.006436
                    110,                0.33985,                0.18892,                0.85209,                0.88612,                0.89443,                0.91201,                0.66655,                0.73134,                0.28724,                 1.0731,               0.006403,               0.006403,               0.006403
                    111,                0.34048,                0.18894,                0.85122,                0.89282,                0.88307,                0.91367,                0.67539,                0.72802,                0.28454,                 1.0704,                0.00637,                0.00637,                0.00637
                    112,                0.33752,                0.18883,                0.84787,                0.88722,                0.88907,                0.91261,                0.67255,                0.72726,                0.28784,                 1.0675,               0.006337,               0.006337,               0.006337
                    113,                 0.3397,                0.18899,                0.84509,                0.89619,                0.88424,                0.91341,                0.67159,                 0.7294,                0.28514,                 1.0563,               0.006304,               0.006304,               0.006304
                    114,                0.33503,                  0.188,                0.84677,                 0.8931,                0.88858,                0.91803,                0.67288,                0.72915,                0.28165,                 1.0623,               0.006271,               0.006271,               0.006271
                    115,                0.33462,                0.18649,                0.84721,                0.90251,                0.88233,                0.92005,                0.66694,                0.72859,                0.28265,                 1.0664,               0.006238,               0.006238,               0.006238
                    116,                0.33374,                0.18692,                0.84639,                0.90634,                0.89234,                0.91452,                0.66732,                0.72909,                0.28142,                 1.0631,               0.006205,               0.006205,               0.006205
                    117,                0.33254,                0.18671,                0.84742,                0.90423,                0.88392,                0.91179,                0.66368,                0.72948,                0.28351,                 1.0632,               0.006172,               0.006172,               0.006172
                    118,                0.33003,                0.18673,                0.84673,                0.91743,                0.87081,                0.91191,                0.66543,                 0.7296,                0.28207,                 1.0669,               0.006139,               0.006139,               0.006139
                    119,                0.33022,                0.18651,                0.84631,                0.89143,                 0.8788,                0.90997,                0.66241,                0.73123,                0.28426,                 1.0652,               0.006106,               0.006106,               0.006106
                    120,                0.32698,                0.18461,                0.84372,                0.92163,                0.84122,                 0.9102,                0.66385,                0.72982,                0.28619,                 1.0653,               0.006073,               0.006073,               0.006073
                    121,                0.32621,                0.18492,                0.84732,                0.89552,                0.86041,                0.90488,                0.66273,                0.72902,                0.28777,                 1.0702,                0.00604,                0.00604,                0.00604
                    122,                0.32477,                0.18364,                0.83969,                0.88554,                0.86515,                0.90643,                0.66306,                0.72773,                 0.2839,                 1.0603,               0.006007,               0.006007,               0.006007
                    123,                0.32548,                0.18128,                0.84313,                0.91575,                0.84484,                0.90734,                0.66622,                 0.7274,                0.28288,                  1.063,               0.005974,               0.005974,               0.005974
                    124,                0.32514,                0.18409,                 0.8443,                0.90159,                0.85816,                0.90813,                0.66372,                 0.7279,                0.28514,                 1.0675,               0.005941,               0.005941,               0.005941
